key,code,startPeriod,endPeriod,mark,link,key:codeAudit
audit-record-01,AU-2024-001,2004/02/01 00:00,2004/02/02 23:59,A_PLUS,http://example1.com,code-audit-09
audit-record-02,AU-2024-002,2006/03/01 00:00,2006/03/02 23:59,A,http://example2.com,code-audit-08
audit-record-03,AU-2024-003,2008/04/01 00:00,2008/04/02 23:59,B,http://example3.com,code-audit-06
audit-record-04,AU-2024-004,2010/05/01 00:00,2010/05/02 23:59,C,http://example4.com,code-audit-03
audit-record-05,AU-2024-005,2012/06/01 00:00,2012/06/02 23:59,F,http://example5.com,code-audit-01
audit-record-06,AU-2024-006,2014/07/01 00:00,2014/07/02 23:59,F_MINUS,http://example6.com,code-audit-02
audit-record-07,AU-2004-007,2016/08/01 00:00,2016/08/02 23:59,A_PLUS,http://example7.com,code-audit-07
audit-record-08,AU-2006-008,2018/09/01 00:00,2018/09/02 23:59,A,http://example8.com,code-audit-06
audit-record-09,AU-2008-009,2020/10/01 00:00,2020/10/02 23:59,B,http://example9.com,code-audit-05
audit-record-10,AU-2010-010,2020/11/01 00:00,2020/11/02 23:59,C,http://example10.com,code-audit-04
audit-record-11,AU-2012-011,2005/12/01 00:00,2005/12/02 23:59,F,http://example11.com,code-audit-03
audit-record-12,AU-2014-012,2007/01/01 00:00,2007/01/02 23:59,F_MINUS,http://example12.com,code-audit-02
audit-record-13,AU-2016-013,2009/02/01 00:00,2009/02/02 23:59,A_PLUS,http://example13.com,code-audit-01
audit-record-14,AU-2018-014,2011/03/01 00:00,2011/03/02 23:59,A,http://example14.com,code-audit-09
audit-record-15,AU-2020-015,2013/04/01 00:00,2013/04/02 23:59,B,http://example15-longer-than-the-average.com,code-audit-08
audit-record-16,AU-2022-016,2015/05/01 00:00,2015/05/02 23:59,C,https://www.this-is-an-extremely-long-url-example-for-demonstration-purposes-only-and-it-is-meant-to-show-how-a-255-character-url-might-look-like-when-you-are-trying-to-push-the-limits-of-url-length.com,code-audit-04
audit-record-17,AU-2005-017,2017/06/01 00:00,2017/06/02 23:59,F,http://example16.com,code-audit-03
